EventName,EventTitle,,,,
KEY_BLEED_AIR_SOURCE_CONTROL_DEC,BLEED_AIR_SOURCE_CONTROL_DEC,,,,
KEY_TURBINE_IGNITION_SWITCH_TOGGLE,TURBINE_IGNITION_SWITCH_TOGGLE,,,,
KEY_CABIN_NO_SMOKING_ALERT_SWITCH_TOGGLE,CABIN_NO_SMOKING_ALERT_SWITCH_TOGGLE,,,,
KEY_CABIN_SEATBELTS_ALERT_SWITCH_TOGGLE,CABIN_SEATBELTS_ALERT_SWITCH_TOGGLE,,,,
KEY_ANTISKID_BRAKES_TOGGLE,ANTISKID_BRAKES_TOGGLE,,,,
KEY_GPWS_SWITCH_TOGGLE,GPWS_SWITCH_TOGGLE,,,,
KEY_VIDEO_RECORD_TOGGLE,VIDEO_RECORD_TOGGLE,,,,
KEY_TOGGLE_AIRPORT_NAME_DISPLAY,TOGGLE_AIRPORT_NAME_DISPLAY,,,,
KEY_CAPTURE_SCREENSHOT,CAPTURE_SCREENSHOT,,,,
KEY_MOUSE_LOOK_TOGGLE,MOUSE_LOOK_TOGGLE,,,,
KEY_YAXIS_INVERT_TOGGLE,YAXIS_INVERT_TOGGLE,,,,
KEY_AUTOCOORD_TOGGLE,AUTORUDDER_TOGGLE,,,,
KEY_FLY_BY_WIRE_ELAC_TOGGLE,FLY_BY_WIRE_ELAC_TOGGLE,,,,
KEY_FLY_BY_WIRE_FAC_TOGGLE,FLY_BY_WIRE_FAC_TOGGLE,,,,
KEY_FLY_BY_WIRE_SEC_TOGGLE,FLY_BY_WIRE_SEC_TOGGLE,,,,
KEY_MANUAL_FUEL_PRESSURE_PUMP,MANUAL_FUEL_PRESSURE_PUMP,,,,
KEY_STEERING_INC,STEERING_INC,,,,
KEY_STEERING_DEC,STEERING_DEC,,,,
KEY_STEERING_SET,STEERING_SET,,,,
KEY_FREEZE_LATITUDE_LONGITUDE_TOGGLE,FREEZE_LATITUDE_LONGITUDE_TOGGLE,,,,
KEY_FREEZE_LATITUDE_LONGITUDE_SET,FREEZE_LATITUDE_LONGITUDE_SET,,,,
KEY_FREEZE_ALTITUDE_TOGGLE,FREEZE_ALTITUDE_TOGGLE,,,,
KEY_FREEZE_ALTITUDE_SET,FREEZE_ALTITUDE_SET,,,,
KEY_FREEZE_ATTITUDE_TOGGLE,FREEZE_ATTITUDE_TOGGLE,,,,
KEY_FREEZE_ATTITUDE_SET,FREEZE_ATTITUDE_SET,,,,
KEY_PRESSURIZATION_PRESSURE_ALT_INC,PRESSURIZATION_PRESSURE_ALT_INC,,,,
KEY_PRESSURIZATION_PRESSURE_ALT_DEC,PRESSURIZATION_PRESSURE_ALT_DEC,,,,
KEY_PRESSURIZATION_CLIMB_RATE_INC,PRESSURIZATION_CLIMB_RATE_INC,,,,
KEY_PRESSURIZATION_CLIMB_RATE_DEC,PRESSURIZATION_CLIMB_RATE_DEC,,,,
KEY_PRESSURIZATION_PRESSURE_DUMP_SWTICH,PRESSURIZATION_PRESSURE_DUMP_SWTICH,,,,
KEY_FUEL_SELECTOR_LEFT_MAIN,FUEL_SELECTOR_LEFT_MAIN,,,,
KEY_FUEL_SELECTOR_2_LEFT_MAIN,FUEL_SELECTOR_2_LEFT_MAIN,,,,
KEY_FUEL_SELECTOR_3_LEFT_MAIN,FUEL_SELECTOR_3_LEFT_MAIN,,,,
KEY_FUEL_SELECTOR_4_LEFT_MAIN,FUEL_SELECTOR_4_LEFT_MAIN,,,,
KEY_FUEL_SELECTOR_RIGHT_MAIN,FUEL_SELECTOR_RIGHT_MAIN,,,,
KEY_FUEL_SELECTOR_2_RIGHT_MAIN,FUEL_SELECTOR_2_RIGHT_MAIN,,,,
KEY_FUEL_SELECTOR_3_RIGHT_MAIN,FUEL_SELECTOR_3_RIGHT_MAIN,,,,
